-14.0015392388, -1.44576357455e-16, 0
-11.6924785322, -7.93817154748, 0
-5.20246280596, -13.0583317463, 0
2.96386622037, -13.7504821344, 0
10.2227405029, -9.80022542412, 0
14.3101827003, -2.58677928586, 0
19.1445406044, 3.26372138259, 0
25.3690630043, 7.34069149521, 0
32.8054300162, 9.84792682562, 0
41.275321756, 10.9892231475, 0
50.6004183397, 10.9683762344, 0
60.6023998832, 9.98918185998, 0
71.1029465024, 8.25543579793, 0
81.9237383135, 5.97093382186, 0
92.8864554322, 3.33947170541, 0
103.812777975, 0.5648452222, 0
114.524386057, -2.14914985412, 0
124.842959795, -4.59871774992, 0
134.590179304, -6.58006269155, 0
143.587724701, -7.88938890539, 0
151.657276101, -8.3229006178, 0
158.620513621, -7.67680205514, 0
164.299117376, -5.74729744377, 0
168.514767483, -2.33059101006, 0
171.098333633, 2.76508087245, 0
172.092211459, 9.4545254817, 0
171.750414635, 17.3754731581, 0
170.336164833, 26.1535979771, 0
168.112683722, 35.4145740142, 0
165.343192974, 44.7840753448, 0
162.290826605, 53.8878944478, 0
159.142618583, 62.4546223421, 0
155.870355912, 70.5036129604, 0
152.408035912, 78.1052678302, 0
148.689655902, 85.3299884793, 0
144.649213201, 92.2481764353, 0
140.220705128, 98.9302332257, 0
135.344607642, 105.440341344, 0
130.027115295, 111.779598115, 0
124.312669634, 117.912386467, 0
118.246186633, 123.802633911, 0
111.872582268, 129.414267962, 0
105.236772513, 134.711216132, 0
98.3835095084, 139.65765271, 0
91.3444419041, 144.237489382, 0
84.1287615938, 148.468463761, 0
76.7434540653, 152.371636906, 0
69.1955048061, 155.968069874, 0
61.491899304, 159.278823725, 0
53.6396230466, 162.324959515, 0
45.6481653043, 165.116264268, 0
37.5406015914, 167.601348853, 0
29.344594002, 169.708171686, 0
21.0878081878, 171.364675163, 0
12.7979098, 172.49880168, 0
4.50256449012, 173.038493633, 0
-3.77105117625, 172.9143872, 0
-12.009703405, 172.133912382, 0
-20.2157854967, 170.790569896, 0
-28.3925180761, 168.982417188, 0
-36.5431217684, 166.807511701, 0
-44.6708171987, 164.363910882, 0
-52.7788248246, 161.749671726, 0
-60.8586918378, 159.031440452, 0
-68.8586298567, 156.159254613, 0
-76.7167964296, 153.056097968, 0
-84.3713491046, 149.644954276, 0
-91.76044543, 145.848807295, 0
-98.8222429542, 141.590640785, 0
-105.498506498, 136.798349653, 0
-111.784685737, 131.472918443, 0
-117.717408902, 125.671394555, 0
-123.334354962, 119.452255916, 0
-128.673202884, 112.873980454, 0
-133.771631634, 105.995046097, 0
-138.667222365, 98.8739263461, 0
-143.368324672, 91.5677719455, 0
-147.813300658, 84.1305666325, 0
-151.930256694, 76.6158300626, 0
-155.647299153, 69.0770818911, 0
-158.892534406, 61.5678417735, 0
-161.594068826, 54.141629365, 0
-163.680008785, 46.8519643212, 0
-165.078460654, 39.7523662972, 0
-165.717530805, 32.8963549486, 0
-165.525325611, 26.3374499307, 0
-164.429951444, 20.1291708988, 0
-162.359514676, 14.3250375084, 0
-159.242121678, 8.97856941476, 0
-155.005878823, 4.14328627336, 0
-149.578892483, -0.127292260483, 0
-142.88926903, -3.77964653138, 0
-134.865114835, -6.76025688395, 0
-125.434536272, -9.01560366283, 0
-114.525639711, -10.4921672126, 0
-102.066531525, -11.136427878, 0
-87.9853180856, -10.8948660035, 0
-72.2101057654, -9.71396193389, 0
-54.6690009362, -7.54019601367, 0
-35.29010997, -4.32004858749, 0
-14.0015392388, 0.0, 0
-14.1350840829, -6.88573195704e-17, 1
-11.6106382535, -7.88322654869, 1
-5.14566643355, -13.0649791697, 1
3.17603119739, -13.9230057841, 1
10.378579406, -9.5907822128, 1
14.3253806904, -2.2669054586, 1
18.8336907062, 3.88826641926, 1
24.7943904877, 8.19636262129, 1
32.0272232817, 10.8672867505, 1
40.3519323347, 12.1109424098, 1
49.5882608935, 12.1372332023, 1
59.5559522046, 11.1560627309, 1
70.0747495147, 9.37733459871, 1
80.9643960705, 7.01095240862, 1
92.0446351186, 4.26681976368, 1
103.135209906, 1.35484026686, 1
114.055863678, -1.51508247882, 1
124.626339683, -4.13304487038, 1
134.666381167, -6.28914330482, 1
143.995731376, -7.77347417914, 1
152.434133558, -8.37613389035, 1
159.801330958, -7.88721883544, 1
165.917066824, -6.09682541142, 1
170.601084402, -2.7950500153, 1
173.677456044, 2.22150480233, 1
175.138778148, 8.90296401055, 1
175.19669899, 16.870242501, 1
174.077519861, 25.7222333553, 1
172.007542051, 35.0578296547, 1
169.21306685, 44.4759244808, 1
165.920395547, 53.5754109151, 1
162.32384395, 62.0346521312, 1
158.47612127, 69.883842453, 1
154.390761759, 77.2505090375, 1
150.081298299, 84.2621824448, 1
145.561263773, 91.0463932347, 1
140.844191063, 97.7306719674, 1
135.942213039, 104.435935623, 1
130.841694518, 111.161374242, 1
125.506368071, 117.79926434, 1
119.899196736, 124.23824718, 1
113.983143547, 130.366964029, 1
107.721171541, 136.074056151, 1
101.076298406, 141.248268768, 1
94.0364553614, 145.825736691, 1
86.6538342337, 149.864828861, 1
78.9908477059, 153.44335595, 1
71.1099084608, 156.639128629, 1
63.0734291809, 159.529957569, 1
54.943822549, 162.193653441, 1
46.778494644, 164.698121069, 1
38.5913326408, 167.025160675, 1
30.3738402859, 169.112285607, 1
22.1173370594, 170.896644632, 1
13.8131424412, 172.315386515, 1
5.45257591098, 173.305660022, 1
-2.97264531431, 173.80508894, 1
-11.4498454405, 173.776327963, 1
-19.9354318168, 173.218955912, 1
-28.3833275586, 172.135518537, 1
